Glyph,Name ,Character(s) 
⤥,hksearow; ,U+02925 
⤦,hkswarow; ,U+02926 
⇿,hoarr; ,U+021FF 
∻,homtht; ,U+0223B 
↩,hookleftarrow; ,U+021A9 
↪,hookrightarrow; ,U+021AA 
ℍ,Hopf; ,U+0210D 
𝕙,hopf; ,U+1D559 
―,horbar; ,U+02015 
─,HorizontalLine; ,U+02500 
ℋ,Hscr; ,U+0210B 
𝒽,hscr; ,U+1D4BD 
ℏ,hslash; ,U+0210F 
Ħ,Hstrok; ,U+00126 
ħ,hstrok; ,U+00127 
≎,HumpDownHump; ,U+0224E 
≏,HumpEqual; ,U+0224F 
⁃,hybull; ,U+02043 
‐,hyphen; ,U+02010 
Í,Iacute; ,U+000CD 
Í,Iacute ,U+000CD 
í,iacute; ,U+000ED 
í,iacute ,U+000ED 
⁣,ic; ,U+02063 
Î,Icirc; ,U+000CE 
Î,Icirc ,U+000CE 
î,icirc; ,U+000EE 
î,icirc ,U+000EE 
И,Icy; ,U+00418 
и,icy; ,U+00438 
İ,Idot; ,U+00130 
Е,IEcy; ,U+00415 
е,iecy; ,U+00435 
¡,iexcl; ,U+000A1 
¡,iexcl ,U+000A1 
⇔,iff; ,U+021D4 
ℑ,Ifr; ,U+02111 
𝔦,ifr; ,U+1D526 
Ì,Igrave; ,U+000CC 
Ì,Igrave ,U+000CC 
ì,igrave; ,U+000EC 
ì,igrave ,U+000EC 
ⅈ,ii; ,U+02148 
⨌,iiiint; ,U+02A0C 
∭,iiint; ,U+0222D 
⧜,iinfin; ,U+029DC 
℩,iiota; ,U+02129 
Ĳ,IJlig; ,U+00132 
ĳ,ijlig; ,U+00133 
ℑ,Im; ,U+02111 
Ī,Imacr; ,U+0012A 
ī,imacr; ,U+0012B 
ℑ,image; ,U+02111 
ⅈ,ImaginaryI; ,U+02148 
ℐ,imagline; ,U+02110 
ℑ,imagpart; ,U+02111 
ı,imath; ,U+00131 
⊷,imof; ,U+022B7 
Ƶ,imped; ,U+001B5 
⇒,Implies; ,U+021D2 
∈,in; ,U+02208 
℅,incare; ,U+02105 
∞,infin; ,U+0221E 
⧝,infintie; ,U+029DD 
ı,inodot; ,U+00131 
∬,Int; ,U+0222C 
∫,int; ,U+0222B 
⊺,intcal; ,U+022BA 
ℤ,integers; ,U+02124 
∫,Integral; ,U+0222B 
⊺,intercal; ,U+022BA 
⋂,Intersection; ,U+022C2 
⨗,intlarhk; ,U+02A17 
⨼,intprod; ,U+02A3C 
⁣,InvisibleComma; ,U+02063 
⁢,InvisibleTimes; ,U+02062 
Ё,IOcy; ,U+00401 
ё,iocy; ,U+00451 
Į,Iogon; ,U+0012E 
į,iogon; ,U+0012F 
𝕀,Iopf; ,U+1D540 
𝕚,iopf; ,U+1D55A 
